Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22 00:00:00-05:00,95.4782943725586,98.06040954589844,94.87779998779297,97.09962463378906,92.87751007080078,22350374
2018-01-23 00:00:00-05:00,97.88026428222656,102.26385498046875,97.70011138916016,101.42316436767578,97.0130844116211,20522574
2018-01-24 00:00:00-05:00,102.08370971679688,104.2454833984375,97.58001708984375,98.720947265625,94.42835235595703,27813458
2018-01-25 00:00:00-05:00,99.08124542236328,99.80184173583984,96.85942840576172,97.15966796875,92.93495178222656,15829859
2018-01-26 00:00:00-05:00,96.85942840576172,97.0395736694336,95.65843963623047,96.85942840576172,92.64773559570312,15135679
2018-01-29 00:00:00-05:00,96.19888305664062,98.66090393066406,95.89863586425781,97.76016235351562,93.50933837890625,12345618
2018-01-30 00:00:00-05:00,96.67927551269531,97.70011138916016,95.7785415649414,95.7785415649414,91.61388397216797,11366372
2018-01-31 00:00:00-05:00,96.43907928466797,97.70011138916016,96.01873779296875,97.09962463378906,92.87751007080078,12784375
2018-02-01 00:00:00-05:00,96.43907928466797,96.73932647705078,95.598388671875,96.19888305664062,92.01594543457031,8796781
2018-02-02 00:00:00-05:00,95.41824340820312,95.65843963623047,93.67681121826172,93.9170150756836,89.83329010009766,13704553
2018-02-05 00:00:00-05:00,92.95622253417969,93.85696411132812,89.53341674804688,89.53341674804688,85.64030456542969,20523424
2018-02-06 00:00:00-05:00,88.99297332763672,92.11553192138672,88.33243560791016,91.6951904296875,87.70806121826172,21119318
2018-02-07 00:00:00-05:00,91.93538665771484,93.19641876220703,91.57508850097656,91.57508850097656,87.59320068359375,12657479
2018-02-08 00:00:00-05:00,91.21479797363281,91.33489227294922,86.77114868164062,86.77114868164062,82.99813842773438,23087070
2018-02-09 00:00:00-05:00,88.21233367919922,90.2540054321289,85.45006561279297,89.71356201171875,85.81261444091797,21491662
2018-02-12 00:00:00-05:00,90.43415832519531,90.91455078125,88.75277709960938,88.99297332763672,85.12336730957031,12586737
2018-02-13 00:00:00-05:00,88.51258087158203,88.81282806396484,87.25154876708984,88.09223937988281,84.26178741455078,12273311
